title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis,language
6884,Asura,ACTION,"Giun Ryu,Mun Jeong Hoo",SUNDAY,8,21239,9.5,132388,15209,ONGOING,False,"Once there was an emperor’s vassal who journeyed abroad to discover the secret of immortality. A lifetime went by, and the emperor and empire fell to dust. The vassal, now known as Chief, returns to the realm, bringing with him a boy of mysterious origin and immense power named Asura. In this unfamiliar world, Chief and Asura must reckon with peril and unrest among martial arts sects ruled by the nefarious Fort Sovereign. One thing, however, is for certain: the realm will never be the same.",en
6883,Humanoido,HEARTWARMING,hyung ju,SUNDAY,10,37868,9.61,376227,38142,ONGOING,False,"Meet Ido Noh, a shy first-year high school student with a severe stutter that makes talking to people nearly impossible. Her life changes when she meets Se-i Ryu, a robot with a mysterious past and a quest to reclaim his lost memories. Can Ido find her voice with this unlikely friend, and will Se-i uncover the secrets of his origin?",en
6882,Phantom Whispers,THRILLER,moonkyoung kim,THURSDAY,9,66385,9.81,467624,56519,ONGOING,False,"Noa has struggled with hearing unsettling voices since she was a child. But when a mysterious murder takes place, the voice in Noa’s head urges her to uncover the killer. With the police skeptical and her sanity on the line, Noa must navigate a web of fear and suspicion, guided by a ghost, to catch a ruthless killer before she herself becomes the serial killer. Will Noa uncover the murderer, or will her own mind betray her?

This series contains themes regarding mental health and violence that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/).",en
6881,Seasons of Lovesome,ROMANCE,"HONGDUCK,NEMONE",THURSDAY,12,162512,9.86,1470904,205210,ONGOING,False,"Life isn’t always perfect, but love certainly makes it better. The exciting tale of young love continues a year following the story “Seasons of Blossom.” Bomi and her university classmate Pureum’s lives center around a new place, “Cafe Blossom & Nemone Art Studio,” as they navigate the joy and hardships of university and professional life. ",en
6880,I Became a Level 999 Demon Queen,FANTASY,"LEE JAE-I,Hangaga,SANSOBEE",TUESDAY,12,193260,9.34,2375215,206829,ONGOING,False,"The terminally ill daughter of a poor family is given a new lease on life when she is granted the chance to be reborn as anyone she wants. But her plans go awry when she accidentally wishes to become the wrong character of the video game she likes—Raina Rubellite, the final evil boss that torments the righteous main character of the game “The Power of Love”. Now, our protagonist finds herself reborn as an evil devil queen with overpowered dark magic powers, but she won’t let the video game’s plot stop her from living the life of her dreams!",en
6879,The Villainess Just Wants to Live in Peace!,ROMANCE,"Graycat,Honaran,Lee Harin",TUESDAY,12,351090,9.18,4536081,390630,ONGOING,False,"I quit my terrible job and set off on a trip, only to die in a plane crash! I woke up to find myself reincarnated as Tanasia Breloff, the villainess of a novel I once read. Tanasia was scheming to harm her sister out of jealousy, but I’m not interested in villainy; I’m content being a beautiful, wealthy noblewoman! But wait… don’t I eventually get killed in the novel? I must prevent my death—so I can live the peaceful life I’ve dreamed of! This series contains themes regarding abuse and may not be suitable for all readers. Viewer discretion is advised.
",en
6878,Changing the Genre From Angst to Heartwarming,ROMANCE,"Hwang DoTol,Ryuho,Yangdam",SUNDAY,12,235481,9.39,3022857,271545,ONGOING,False,"I've been reincarnated. Into a novel I used to enjoy in my past life, no less!
My name is Renatis, and I'll be playing the part of little sister to the female lead in this dark, tragic whirlwind of a story where a beastly bad boy shatters my sister's hopes, dreams, and her life. My sister is too good and too beautiful, and I'm not about to let that happen to my perfect sister.
So, I'm taking charge. I shall turn this dark, tragic story into a heartwarming tale of healing. I will save my sister.

This series contains themes regarding child abuse that may not be suitable for all readers. Viewer discretion is advised. If you or someone you know is struggling or in crisis, please reach out for help at Crisis Text Line (http://crisistextline.org/)."" ",en
6877,JAKDU: Shaman's Blade,FANTASY,"232,POGO",SATURDAY,10,70579,9.73,497263,55099,ONGOING,False,"Yongjin is a struggling orphan–a blunt realist with no time or money to spare on superstitious nonsense. But on his 16th birthday, he finds his life taking a dramatic turn when his classmate Huisu, whom he had never interacted with before, suddenly asks to be his girlfriend. For the first time, Yongjin isn’t alone–but his new company isn’t exactly the kind he had always wished for, as he finds himself being chased by spirits instead! Though this wasn’t quite the sweet sixteen he had in mind, Yongjin must now navigate  through a new world he never thought existed.",en
6859,DevilUp,ACTION,VoyceMe Inc.,FRIDAY,12,31509,3.92,196802,15640,ONGOING,False,"Silas Reinheart has lost his family and the love of his life, only to awaken in hell facing the consequences of his dying words. He had cursed the gods and blamed them for the horrors struck upon his village, dooming him to an eternity of torment. But when a Devil offers Silas a deal, his fate is altered allowing him to return to the world of the living and collect souls as the Devil’s Spawn. If Silas refuses, he and his loved ones will be lost for eternity, however if he accepts the Devil’s contract there is a chance he can save the souls of those he lost.",en
6858,Duolingo Unleashed,COMEDY,"Karen Buchanan,Kylie ""Kole""  Hunsinger",TUESDAY,5,293209,9.01,7090289,120746,ONGOING,False,"Overwhelmed by his growing workload, Duo the Owl seeks an assistant. When his search leads him to a free clone machine, he thinks all his problems are solved—after all, who better to help Duo than Duo? But when Duo’s grand ambitions blow up in his face (literally) and wayward clones start terrorizing the city, it’s up to Duo and his crew to restore order… and more importantly, his reputation! Buckle up for a new adventure that questions what it truly means to be yourself.",en
